,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
7622,Silver,2017,4395mm,1032000.0,1818mm,Jeep,Manual,5.0,SUV,Kolkata,Jeep Compass,70857,Comprehensive,Diesel,2,1956
7623,Others,2010,4420 mm,270000.0,1695 mm,Honda,Manual,5.0,Sedan,Kolkata,Honda City,50000,Third Party insurance,Petrol,3,1497
7624,Others,2015,4490mm,475000.0,1730mm,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Ciaz,80000,Third Party insurance,Diesel,1,1248
7625,Others,2010,3715mm,140000.0,1680mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Ritz,110000,Third Party insurance,Diesel,2,1248
7626,Others,2013,3599mm,320000.0,1495mm,Maruti,Manual,5.0,Hatchback,Kolkata,Maruti Wagon R,60000,Third Party insurance,Petrol,1,998
7627,Others,2014,3765mm,340000.0,1660mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai Grand i10,70000,Third Party insurance,Petrol,2,1197
7628,Others,2011,4160mm,250000.0,1690mm,Maruti,Manual,5.0,Sedan,Kolkata,Maruti Swift Dzire,100000,Third Party insurance,Petrol,2,1298
7629,Silver,2014,3995mm,325000.0,1660mm,Hyundai,Manual,5.0,Sedan,Kolkata,Hyundai Xcent,38000,Comprehensive,Petrol,1,1197
7630,Others,2013,3995mm,260000.0,1710mm,Hyundai,Manual,5.0,Hatchback,Kolkata,Hyundai i20,60000,Third Party insurance,Petrol,5,1197
7631,Silver,2014,4585mm,799000.0,1760mm,Toyota,Manual,8.0,MUV,Kolkata,Toyota Innova,55000,Comprehensive,Diesel,2,2494
7632,Others,2015,3995mm,400000.0,1660mm,Hyundai,Manual,5.0,Sedan,Kolkata,Hyundai Xcent,60000,Third Party insurance,Petrol,1,1197
7633,Blue,2022,3995 mm,956000.0,1770 mm,Hyundai,Manual,5.0,SUV,Kolkata,Hyundai Venue,4034,Comprehensive,Petrol,1,998
